epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1944.35,0.34177,0.29887,0.7978,0.99434,0.98514,0.98898,0.92988,0.36784,0.26578,0.78879,0.000399219,0.000399219,0.000399219
57,1970.06,0.33834,0.28746,0.80803,0.99172,0.98089,0.9887,0.93792,0.34041,0.24116,0.7831,0.00038375,0.00038375,0.00038375
58,1995.91,0.33489,0.28895,0.79848,0.99379,0.98115,0.98923,0.93937,0.33139,0.24368,0.78203,0.000368281,0.000368281,0.000368281
59,2021.95,0.32177,0.27617,0.80384,0.99356,0.96774,0.98837,0.93618,0.33005,0.24745,0.78337,0.000352812,0.000352812,0.000352812
60,2047.57,0.32418,0.27161,0.79819,0.99353,0.96715,0.98771,0.94176,0.31919,0.24178,0.78134,0.000337344,0.000337344,0.000337344
61,2073.42,0.32357,0.27874,0.79573,0.9909,0.98243,0.98907,0.93984,0.33435,0.24078,0.78821,0.000321875,0.000321875,0.000321875
62,2099.55,0.32893,0.27161,0.81293,0.99208,0.98736,0.9892,0.94379,0.33333,0.2405,0.78116,0.000306406,0.000306406,0.000306406
63,2125.45,0.3308,0.26969,0.80598,0.98257,0.98881,0.98925,0.94443,0.33474,0.23941,0.78262,0.000290937,0.000290937,0.000290937
64,2150.76,0.31032,0.26821,0.79342,0.97561,0.98485,0.98879,0.93678,0.3296,0.24477,0.78541,0.000275469,0.000275469,0.000275469
65,2176.46,0.32289,0.27078,0.79918,0.97223,0.98617,0.98851,0.93131,0.3325,0.2447,0.77993,0.00026,0.00026,0.00026
66,2201.66,0.31467,0.26069,0.79781,0.96847,0.98718,0.98891,0.93503,0.32795,0.24079,0.78092,0.000244531,0.000244531,0.000244531
67,2226.87,0.30484,0.25737,0.78578,0.99129,0.96716,0.98729,0.94029,0.31579,0.23477,0.77954,0.000229063,0.000229063,0.000229063
68,2253.46,0.29978,0.26018,0.79727,0.99202,0.96835,0.98584,0.94023,0.31966,0.24682,0.77945,0.000213594,0.000213594,0.000213594
